age,qx
0,0.005696331822242162
1,0.0003478563318252137
2,0.00016096867335990694
3,0.00017253873451794632
4,0.00010013701917271647
5,7.262384538494565e-05
6,6.10522891237529e-05
7,8.834086723384113e-05
8,0.00011701155121695134
9,0.0001024271045708392
10,0.00012716283970060096
11,0.0001254620617431704
12,0.00011876206763111814
13,9.662148900546139e-05
14,0.00013796938931716048
15,0.00014703426193056251
16,0.0002167354291621499
17,0.00027281732049210607
18,0.0003620558908370099
19,0.0003904374354834744
20,0.0004889479149874134
21,0.0005047547035026705
22,0.0005118095249494125
23,0.0005086122902292719
24,0.0005897049979003515
25,0.0005816024957879369
26,0.0005823445839670484
27,0.0005862975289445383
28,0.0006086713584845858
29,0.0005969143446855226
30,0.0006415700876647237
31,0.0006752326756772234
32,0.0007602253071424183
33,0.0008816482737947558
34,0.0010309026598917437
35,0.001114270928439325
36,0.0012248597541336145
37,0.001275682683559572
38,0.0012981957614257456
39,0.0014344934671742411
40,0.0015546148568091204
41,0.0017310892848304582
42,0.0018651251709427906
43,0.00205412543562442
44,0.002099549843760143
45,0.0021599935227082302
46,0.002284390906312351
47,0.0024920428561529574
48,0.002783063754536294
49,0.0032347834664516635
50,0.0036883432128830807
51,0.004019055552672375
52,0.004367559593929528
53,0.0048759466756014445
54,0.005410516371520083
55,0.005941658361201621
56,0.006537643085060406
57,0.007259932152277919
58,0.00799522445375734
59,0.008631799216612196
60,0.009430786429601188
61,0.010215353601467197
62,0.011310092411214109
63,0.012335190699838388
64,0.013576917330159366
65,0.014895892657512814
66,0.015775249774885317
67,0.016883275412411972
68,0.018287919512211332
69,0.020416769167648625
70,0.021971026007950877
71,0.023609759678238966
72,0.02566969268875356
73,0.028191564838678115
74,0.030586342368676765
75,0.03363474525557802
76,0.03706951195278284
77,0.0410784873102477
78,0.045460227427052795
79,0.05067731724027791
80,0.056036470157297846
81,0.06200007088256998
82,0.06863153902593666
83,0.07599975500686751
84,0.08417922019996726
85,0.09325012832173463
86,0.10329831643338172
87,0.11441505712188982
88,0.12669664581485318
89,0.14024372894185877
90,0.1551603100812301
91,0.17155236283739606
92,0.18952597177164843
93,0.2091849174131576
94,0.23062761982211177
95,0.2539433595284021
96,0.2792077077178212
97,0.3064771227231856
98,0.3357827112202024
99,0.3671232144003158
100,0.4004573660514321
101,0.43569588424887074
102,0.47269350237944585
103,0.5112416156518067
104,0.5510623069605796
