year,spot_rate,forward_rate,discount_factor
1,0.02076,0.02076,0.9796622124691405
2,0.02163,0.022500741506328747,0.9581041584634167
3,0.02283,0.0252342301923536,0.9345222098989593
4,0.02386,0.02695622750058524,0.9099922517373573
5,0.02479,0.02851845512051665,0.8847602560818698
6,0.02565,0.029960837753302494,0.8590232013207755
7,0.02651,0.03168516435765656,0.8326408394712324
8,0.02724,0.03236455654715753,0.8065376074669588
9,0.02793,0.03346671127496248,0.7804195323059349
10,0.02863,0.034951489877125486,0.7540638763644759
11,0.02921,0.03502801749196216,0.7285444100263999
12,0.02975,0.03570873213306469,0.7034259608161716
13,0.03033,0.03731553383468422,0.6781214952173615
14,0.03076,0.0363663578861948,0.6543260402629041
15,0.03107,0.03541980214819351,0.6319427529832526
16,0.03133,0.03523787682096957,0.6104324108810969
17,0.03156,0.03524698363131917,0.589649060111137
18,0.03176,0.03516593890116182,0.5696179114404158
19,0.03194,0.035185375165809996,0.5502569154333133
20,0.03209,0.03494414629795939,0.5316778856149933
21,0.03222,0.03482344139829152,0.513786085959331
22,0.03233,0.0346427097777271,0.49658310168706243
23,0.03243,0.03463245242932733,0.47996087936453213
24,0.03252,0.03459216676172372,0.46391311937612184
25,0.03259,0.034271424441495446,0.4485409810356445
26,0.03266,0.0344115430751708,0.4336194660997214
27,0.03272,0.034281224228725815,0.4192471601938592
28,0.03277,0.0341209154433364,0.40541406128907503
29,0.03281,0.033930629207368446,0.39210953794827946
30,0.03285,0.03401067413333769,0.3792122729070746
31,0.03288,0.03378040530331439,0.3668209137663163
32,0.03291,0.03384043231516065,0.3548138593736997
33,0.03294,0.033900460197547444,0.34317990274025545
34,0.03296,0.033620217288861776,0.3320174054261444
35,0.03298,0.0336602304549003,0.3212055525054184
36,0.033,0.0337002440079206,0.31073374933145237
37,0.03301,0.033370064479694816,0.30069939125622713
38,0.03303,0.03377027227745999,0.2908764155055143
39,0.03304,0.03342007173930095,0.28146967865250944
40,0.03305,0.03344007551456629,0.27236187692098274
41,0.03306,0.033460079386595565,0.2635436843217414
42,0.03307,0.03348008335537811,0.25500606017108685
43,0.03308,0.03350008742093946,0.2467402405426446
44,0.03308,0.03308,0.23883943212785513
45,0.03309,0.03353009584324562,0.23109093106087902
46,0.03309,0.03308999999999984,0.22368906006338174
47,0.0331,0.03356010465273096,0.2164257879695731
48,0.0331,0.03309999999999991,0.2094916154966345
49,0.0331,0.03309999999999991,0.2027796103926382
50,0.0331,0.03309999999999991,0.19628265452776905
